type,variety,level_2,dist01,dist02,dist03,dist04,dist05,dist06,dist07,dist08,dist09,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17
Red Wine,Zinfandel ,brixfactor,11231.035714285714,8217.391304347826,9335.455830388693,6183.760683760684,3040.0,6421.108695652174,1153.8461538461538,10403.288888888888,6657.142857142857,10469.342465753425,19866.985714285714,12164.166666666666,14579.767441860466,8207.142857142857,4266.666666666667,7887.5,3400.0
Red Wine,Zinfandel ,tons,3725.2,1086.4,10595.8,2402.1,175.5,2003.1,588.2,4177.0,260.7,3010.9,105306.0,4556.3,134507.1,32790.3,368.1,142.1,2502.6
Red Wine,Zinfandel ,wt_ave_base,1737.41,1551.31,3141.9,4338.59,1883.52,1173.64,758.69,1737.28,777.45,1613.96,598.41,283.61,291.1,209.91,673.32,1920.35,249.57
Table,Arra ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Arra ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.5,0.0,0.0,0.0
Table,Arra ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.06,0.0,0.0,0.0
Table,Autumn King ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Autumn King ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2661.0,0.0,0.0,0.0
Table,Autumn King ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.4,0.0,0.0,0.0
Table,Crimson Seedless * ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Crimson Seedless * ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4,0.0,0.0,0.0
Table,Crimson Seedless * ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
Table,Flame Seedless * ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Flame Seedless * ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5064.2,0.0,0.0,0.0
Table,Flame Seedless * ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.8,0.0,0.0,0.0
